title,company,description,onsite_remote,salary,location,criteria,posted_date,link 
BI DATA ANALYST (TABLEAU) | REMOTO | ARGENTINA,Empleos IT,"Consultora especializada en Business Intelligence & Data Analitycs, busca sumar a su equipo personas proactivas, entusiastas, que les gusten los desafíos, con ganas de aportar ideas, compartir experiencias y continuar aprendiendo. Apasionados por la tecnología y el mundo de los datos.Modalidad 100% remoto.Esquema Full Time.¿Qué se necesita para la posición de BI DATA ANALYST?:Ser estudiante o graduado de carrera de Sistemas o afines.Contar con al menos 2 años de experiencia en visualización de datos y armado de tableros.Experiencia en análisis de datos.Conocimientos sólidos de bases de datos relacionales y dominio del lenguaje SQL.Experiencia en desarrollo de tableros con Tableau (excluyente).Experiencia en desarrollo de tableros con Alteryx (deseable).Experiencia en desarrollo de tableros con Qlickview (deseable).Inglés intermedio, nivel conversacional (excluyente).Soft SkillsCapacidad Analítica.Autonomía.Proactividad.Entusiasta.Buena capacidad para el trabajo en equipo.¿Qué tendrás?Día off por cumpleaños, para disfrutarlo como más te guste.Capacitaciones, para estar siempre al día.O. Social Swiss Medical.Crecimiento y desarrollo interno, para potenciar tu carrera.Revisión salarial constante, acorde a performance e inflación.Flexibilidad, para encontrar tu Work-Life Balance.Muy buen ambiente de trabajo, clave para nuestro día a día.¿Te sentís identificad@? Envianos tu CV ¡queremos conocerte!",Presencial,NaN,"Autonomous City of Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Investigación, Analista y Tecnología de la información'}, {'Sectores': 'Servicios de recursos humanos'}]",2022-11-29,https://ar.linkedin.com/jobs/view/bi-data-analyst-tableau-remoto-argentina-at-empleos-it-argentina-3380632353?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=6QFJY7A59O6ctsCrAyyXiQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
analista de datos,Nini Mayorista,"Nini Mayorista incorpora a su equipo perfil con experiencia de al menos 1 año ejerciendo la labor como analista de datos o analista de información.Las principales responsabilidades para quien ocupe la posición serán:Extraer, explorar y manipular grandes volúmenes de datos.Interpretar resultados, simplificarlos y sintetizarlos para luego transmitirlos al negocio, elaborando reportes de gestión para la toma de decisionesDiseñar y mantener tableros de control, cuadros de mando y otros reportes, a partir de los datos recabados en los sistemas de la compañía. Esos reportes deben permitir entender la información de forma rápida y fácil, proporcionando una visión estándar, medible y unificada del proyecto.Detectar nuevas oportunidades y/o mejoras de negocio basadas en datos.Detectar y proponer nuevas metodologías, herramientas y modelos que promuevan la innovación en Ciencia de Datos.Asistir al negocio frente a problemáticas que requieran soluciones basadas en datos.Son RequisitosEstudiante de Administración de Empresas, Sistemas de Información, Marketing o afín.Excel AvanzadoConocimientos de herramientas BI (Microstrategy, BusinessObjects BI, Power BI, etc.)Experiencia en la gestión de altos volúmenes de datos.Resolución, autogestión y análisis serán competencias valoradas en el perfil seleccionado",Presencial,NaN,"Moreno, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Venta al por mayor'}]",2022-10-28,https://ar.linkedin.com/jobs/view/analista-de-datos-at-nini-mayorista-3370271810?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=ZBQjXtZqKNwxk8OttpxxWg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Global Data Analyst,Givaudan,"Join us and celebrate the beauty of human experience. Create for happier, healthier lives, with love for nature. Together, with kindness and humility, we deliver food innovations, craft inspired fragrances and develop beauty and wellbeing solutions that make people look and feel good. There’s much to learn and many to learn from, with more than 16,800 employees around the world to explore ideas and ambitions with. Dive into varied, flexible, and stimulating environments. Meet empowered professionals to partner with, befriend, and stretch your skills alongside. Every day, your energy, your creativity, and your determination will shape our future, making a positive difference on billions of people. Every essence of you enriches our world. We are Givaudan. Human by nature.Givaudan is a global leading company in taste and wellbeing, fragrance, and beauty. With its heritage stretching back over 250 years, the company has a long history of innovating scents and tastes. From a favorite drink to your daily meal, from prestige perfumes to cosmetics and laundry care, its creations inspire emotions and delight millions of consumers the world over. The company is committed to driving purpose-led. long-term growth while leading the way to improve happiness and health for people and nature. In the fiscal year 2020, the Company employed over 15,800 people worldwide and achieved sales of CHF 6,3 billion and a free cash flow of 12,8% of sales. Let's imagine together on www.givaudan.comThe Global Data Analyst, who is part of the Global Analytics team, is extracting, analyzing, and mass-loading master data in our core systems. He/she is supporting various projects with analysis, extractions, and data migration activities.You will:Advanced Analytics  Data analysis of large data sets using state-oft he-art methods and tools to identify business rules and continuous improvement opportunities Processing, cleansing, and verifying the integrity of large data sets used for analysis Doing ad-hoc analysis and presenting results in a clear manner Enhancing data collection procedures to include informationETL (Extraction, Transformation, Load) Drive data mapping activities to support Migration projects and/or Acquisition projects Handling of service requests, execution of reports, and mass uploads Set up mass uploads, reports, and measurements for repetitive execution while ensuring the highest level of data integrity at the global levelProject Management Work alone comfortably Contribute to end MD Projects & Change Requests Actively participate in projects, including continuous improvements, design, data migration/ requirements/processes Support MD Champions with all kinds of analysis and process implementations Perform root-cause analysis, data quality analysis, impact analysis, measurements, and feasibility studies Review of data service requests from businesses to clarify and ensure global consistencyPeople and collaboration Provide professional support for Junior colleagues Act as the contact person for key internal and external stakeholders for operational topics Builds constructive and effective relationships with cross-functional teams and stakeholders Communicate effectively with internal and external partners by phone or via emailYou are:You have a college or university degreeYou are fluent in EnglishYou have 1+ years of relevant experience in a function-specific role or equivalent. You have a good working knowledge of SAP or other ERP systemsYou have advanced MS Excel knowledge and good knowledge of Microsoft Office or equivalent toolStrong numeracy and administration skillsOur Benefits:Flexible work arrangements (possibility to work from home 4 times/week)Competitive benefits packageLong-term career development opportunitiesIn case you are interested, please apply with your English CV.Givaudan is an Equal Employment Opportunity Employer M/F/D/V.At Givaudan, you contribute to delightful taste and scent experiences that touch people's lives. You work within an inspiring team culture – where you can thrive, collaborate and learn from other talented and passionate people across disciplines, regions, and divisions. Join us and Impact Your World!Diversity drives innovation and creates closer connections with our employees, customers, and partners. Givaudan embraces diversity and is committed to building an inclusive environment where everyone impacts our world.At Givaudan, you contribute to delightful taste and scent experiences that touch people’s lives.You work within an inspiring teamwork culture – where you can thrive, collaborate and learn from other talented and passionate people across disciplines, regions and divisions.Every essence of you enriches our world.Diversity drives innovation and creates closer connections with our employees, customers and partners.Givaudan embraces diversity and is committed to building an inclusive environment where everyone impacts our world.",Presencial,NaN,"Martínez, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'No corresponde'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Fabricación de productos químicos'}]",2022-12-04,https://ar.linkedin.com/jobs/view/global-data-analyst-at-givaudan-3225664153?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=aIR7Zk%2BESvbV25nuk3GCdQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Clinical Data Analyst,Cognizant,"At #Cognizant, we have an ideal opportunity for you to be part of one of the largest companies in the digital industry worldwide.Ranked as Top Employers and as a Great Place to Work for millennials, we offer potential associates opportunities to be part of a very fast-moving company with an innovative entrepreneurial mindset and excellent growth trajectory. We also promote an inclusive culture where we value different perspectives.We are currently looking for professionals to work in our Clinical Data Management Team. What do we value?People with initiative and responsibility, who have good diction and excellent treatment with the client. We will assess those who have a technical profile or related experience in the role. Necessary skills and experience required:A Graduate/Post Graduate/Doctorate degree in Life sciences/ Pharmacy/Medical sciences or equivalent degreeMinimum 2 years to 6 years of experience in clinical data managementProactively communicate ownership of studiesCritical thinking to identify root causes and best solutions for data discrepancy managementConfidence to have tough conversations and make challenging decisionsEnables an environment of open and honest communication and critical thinking within DSS study teamInfluence internal team to meet timelines by holding stakeholders accountableAbility to work with different personalities to get the work doneWillingness to seek out information to accomplish goalProactive communicationResponsibility: As a Data Analyst, you’ll work on a project, with responsibility for: Perform Migrations / Set up / Close out activities apart from Study Conduct activities under supervision and quality checksTriage of Safety casesOversight of data discrepancy managementOwner of study documentation, including completeness, accuracy, and performing periodic review of eTMF/TMFResponsible for compiling HoS contentConduct the protocol amendment impact assessment and complete appropriate documentationManage migration and audit trail reportsCreate slides for study-specific EDC investigator trainingGenerate all study related reports, status updates, and carries out all study related email conversation and communication with internal stakeholders and Client.Provide study specific training to data manager (DM)Contribute to the Data Management Plan (DMP)Request DTS creation and ensure DTS finalized and complete for any LSH loadsExecute data review per IDRP (e.g. SAE reconciliation, PK reconciliation, short term-long term reconciliation)Manage table in EDC for study specific inclusion/exclusion data (SDTM related to protocol)Manage global and study-specific data entry conventionsFacilitate versioning, including Unlock/audit trail review & Archival processKnowledgeable of study protocol to provide secondary feedback to SD/DWA for consistency and completeness of clinical database/study designTimely communication with key stakeholders on issues and risks, includingBrings CDR, DWA, and SD together to discuss post-production changes when identifiedProvide critical information to PL who will communicate with study teamLog any action issues into DS Hub and resolve outstanding issues assigned to DAMange assigned activities to meet milestone datesAsk questions to get information needed to meet end goalsManage programming only changes (Move to DWA for LSH and SD for EDC when SOP and T11/12 updated)Location: Buenos Aires, Argentina. Shift: Full Time. (9 am to 6 pm)We offer OSDE for you and your primary family group, a very competitive salary, an annual bonus, and unlimited access to Udemy. There are many other benefits that we are going to share during the selection process.  Join our team!!",Presencial,NaN,"Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información, Analista y Ciencias'}, {'Sectores': 'Servicios de TI y consultoría de TI y Fabricación de productos farmacéuticos'}]",2022-12-14,https://ar.linkedin.com/jobs/view/clinical-data-analyst-at-cognizant-3393658401?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=d1ISaGFYhaGGfwH2KBN0Pw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista de Datos,Megatlon,"En Megatlon nos encontramos en la búsqueda de un Analista de Planificación ComercialRequisitos Graduado o estudiante avanzado próximo a recibirse de las carreras sistemas, administración de empresas o afines Experiencia mínima de 2 años en área de inteligencia comercial y planificación de negocio de servicios Experiencia en la creación de KPI's para el control y seguimiento de la gestiónRequisitos tecnológicosExcel avanzado (excluyente)Conocimiento en Power Bi o TableauConocimiento en lenguaje DAXDeseable conocimiento en power query y lenguaje MConocimiento de fundamentos de bases de datos.Deseable SAP y QVCompetencias requeridas Proactivo, capacidad resolutiva, excelente manejo de relaciones interpersonales y capacidad de autocorrecciónBeneficios Muy buenas posibilidades de desarrollo Integrarte a una compañía en pleno proceso de expansiónEncontrá el trabajo que buscás en la mayor red de gimnasios del país y formá parte de nuestro equipo de profesionales.Si sos dinámico, tenés vocación de servicio y pasión para lograr tus metas, podés unirte a nuestro Staff",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Venta al por mayor'}]",2022-12-12,https://ar.linkedin.com/jobs/view/analista-de-datos-at-megatlon-3389942794?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=fW4CsRZQ%2BcMg8wdH0KChOg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista Datos SQL y Tableros,Educ.ar Sociedad del Estado,Nan,Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina",[],2022-10-29,https://ar.linkedin.com/jobs/view/analista-datos-sql-y-tableros-at-educ-ar-sociedad-del-estado-3366326488?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=Nd5llOTef2bhv9c4mpoy%2Fw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,JLL,Nan,Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina",[],2022-12-19,https://ar.linkedin.com/jobs/view/data-analyst-at-jll-3406973157?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=C0Rl7Cm%2BlSPuHZ0wHMNABQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Consultoría - Jr Data Analyst - Europe Clients - Olivos,PwC Argentina,Nan,Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina",[],2022-11-30,https://ar.linkedin.com/jobs/view/consultor%C3%ADa-jr-data-analyst-europe-clients-olivos-at-pwc-argentina-3374535986?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=wz3891HKocRGU7u%2FS8Gmeg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Associate - Rosario,PwC Argentina,"Line of ServiceTaxIndustry/SectorNot ApplicableSpecialismTransfer PricingManagement LevelAssociateJob Description & SummaryA career in our STEM line of Service, within Technology Strategy services, will provide you with the opportunity to help organisationsdevelop strategies that transform their technology capabilities and solve their most critical challenges. We focus on building technology enabled and agile operating models, planning their new enterprise architecture into a differentiating capability system that helps them win in the market, leveraging digital analytics to enhance the customer experience and optimising business operations, and using modern management techniques such as roboticprocess automation and next generation sourcing strategies to help our clients get fit for growth.To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:Invite and give in the moment feedback in a constructive manner.Share and collaborate effectively with others.Identify and make suggestions for improvements when problems and/or opportunities arise.Handle, manipulate and analyse data and information responsibly.Follow risk management and compliance procedures.Keep up-to-date with developments in area of specialism.Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.Build and maintain an internal and external network.Seek opportunities to learn about how PwC works as a global network of firms.Uphold the firm's code of ethics and business conduct.As a Junior Consultant in DATS, you are an important member of the team supporting transaction-focused projects. In this role, you will work on data analytics assignments that span across the entire lifecycle of an M&A deal. You will support sell- and buy-side due diligence activities by preparing common data models, visualizations, automation and machine learning models. You will take ownership of tasks and work streams of international client-related projects.EssentialBachelor’s degree (or advanced) in Engineering, Computer Science, Statistics, Economics or related fields.Solid knowledge of data models and/or process modelling.High degree of analytical thinking and ability to solve complex problems.Willingness to take ownership for tasks.Strong communication skills in Spanish and English, verbal and written.You can share your concepts with clarity, get to the core of issues and contribute to our success as a true team player.Ability to work independently on qualitative and quantitative analyses.Show self-learning abilities.Team player who can engage in international teams.Advanced English level, both verbal and written.High intermediate skills in MS-Office tools (Excel, Word, PowerPoint).DesirableExperience in workflow tools such as AlteryxExperience in visualization tools such as: Tableau, PowerBI or similar.Experience in programming languages such as: SQL, Python or similar.Education (if blank, degree and/or field of study not specified)Degrees/Field of Study required:Degrees/Field of Study preferred:Certifications (if blank, certifications not specified)Required SkillsData Analysis, Microsoft Excel, Microsoft Power BI, Microsoft SQL ServerOptional SkillsDesired Languages (If blank, desired languages not specified)EnglishTravel RequirementsNot SpecifiedAvailable for Work Visa Sponsorship?NoGovernment Clearance Required?NoJob Posting End DateFebruary 28, 2023",Presencial,NaN,"Rosario, Santa Fe, Argentina","[{'Nivel de antigüedad': 'Algo de responsabilidad'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Asesoría y servicios empresariales'}]",2022-12-16,https://ar.linkedin.com/jobs/view/data-analyst-associate-rosario-at-pwc-argentina-3396265464?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=IoFSfPBh8RXYklfc6sRdMA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Customer Insights Analyst,PedidosYa,Nan,Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina",[],2022-12-16,https://ar.linkedin.com/jobs/view/customer-insights-analyst-at-pedidosya-3280174057?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=WhqWrTijDHbJQja31p5a3A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Sr. Data Analyst - Buenos Aires,JPMorgan Chase & Co.,Nan,Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina",[],2022-12-19,https://ar.linkedin.com/jobs/view/sr-data-analyst-buenos-aires-at-jpmorgan-chase-co-3398937560?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=3pHSLaKRDmuQsXRU2S9LaQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista Gobierno de Datos - Calidad de Datos,DICSYS,Nan,Presencial,NaN,"Cordoba, Córdoba, Argentina",[],2022-11-02,https://ar.linkedin.com/jobs/view/analista-gobierno-de-datos-calidad-de-datos-at-dicsys-3373231649?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=IYhfbiDd2ymY11Rv6oYsPg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista de datos - Mix (On Site & Remoto) (1236),aliantec,Nan,Presencial,NaN,"Autonomous City of Buenos Aires, Buenos Aires Province, Argentina",[],2022-11-23,https://ar.linkedin.com/jobs/view/analista-de-datos-mix-on-site-remoto-1236-at-aliantec-3405535600?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=%2FryCIAxW8oqEI9Vc%2B%2F7pIg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Científico de Datos Remoto,Consultoriait.com.ar,Nan,Presencial,NaN,"Autonomous City of Buenos Aires, Buenos Aires Province, Argentina",[],2022-11-23,https://ar.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-remoto-at-consultoriait-com-ar-3373427889?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=3RqUulIrdD77HaZn3nrnVQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
"Pipeline Data Analyst (Digital Solutions) - Buenos Aires, Argentina",Baker Hughes,"Do you enjoy being part of a successful team?Are you looking for new opportunities?Join our team!The PPS business delivers pipeline and process services to the oil and gas market globally. In-line Inspection and Integrity Engineering are services that provide inspection and pipeline integrity reports for our customers globally. Delivering accurate and reliable data and analysis is the cornerstone of the PPS business and is integral in ensuring the safe operating of oil and gas pipelines.Partner with the bestAs a Pipeline Data Analyst, you will be responsible for the production of accurate and reliable inspection reports, which are integral to the safe operation of oil and gas pipelines. The Pipeline Data Analyst role is responsible for the interpretation of inspection data and the production of pipeline inspection reports delivered to clients across the globe.As a Pipeline Data Analyst, you will be responsible for:Achieving of industry certifications allowing for full-scale data analysis.Knowing of data preparation and processing.Integrating of any supplementary data.Applicating of client profiles to organize and report In Line Inspection results. Identifying quality or productivity issues and potential solutions.Reporting cycle timeFuel your passionTo be successful in this role you will:Have a Bachelor's Degree in science, technology, engineering and/or mathematics (STEM) content.Have an upper-intermediate/advanced English level.Demonstrate to have detailed, analytical, process orientated approach with ability to drive issues to a robust closure in a timely manner.Demonstrate proficiency in Microsoft Excel.This is not a Data science role.Work in a way that works for youWe recognize that everyone is different and that the way in which people want to work and deliver at their best is different for everyone too. In this role, we can offer the following flexible working patterns:This role is an office based working pattern in Buenos AiresWorking with usOur people are at the heart of what we do at Baker Hughes. We know we are better when all of our people are developed, engaged and able to bring their whole authentic selves to work. We invest in the health and well-being of our workforce, train and reward talent and develop leaders at all levels to bring out the best in each other.Working for youOur inventions have revolutionized energy for over a century. But to keep going forward tomorrow, we know we have to push the boundaries today. We prioritize rewarding those who embrace change with a package that reflects how much we value their input. Join us, and you can expect:Contemporary work-life balance policies and wellbeing activitiesComprehensive private medical care optionsSafety net of life insurance and disability programsTailored financial programsAdditional elected or voluntary benefitsAbout UsWith operations in over 120 countries, we provide better solutions for our customers and richer opportunities for our people. As a leading partner to the energy industry, we're committed to achieving net-zero carbon emissions by 2050 and we're always looking for the right people to help us get there. People who are as passionate as we are about making energy safer, cleaner and more efficient.Join UsAre you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients? Come join us and grow with a team of people who will energize and inspire you!.About Us:With operations in over 120 countries, we provide better solutions for our customers and richer opportunities for our people. As a leading partner to the energy industry, we’re committed to achieving net-zero carbon emissions by 2050 and we’re always looking for the right people to help us get there. People who are as passionate as we are about making energy safer, cleaner and more efficient.Join Us:Are you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! Let’s come together and take energy forward.Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.R50375",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Petróleo y gas'}]",2022-11-21,https://ar.linkedin.com/jobs/view/pipeline-data-analyst-digital-solutions-buenos-aires-argentina-at-baker-hughes-3402545507?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=iZ9S%2BpjmaB4NLuddW%2B4NHw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista Gobierno de datos - Ciclo de vida del dato,DICSYS,"Súmate a la #ExperienciaDicsys como Analista gobierno de datos - Ciclo de vida del dato! 🔍Nos especializamos en Business Analytics, Business Intelligence y Software Factory en toda Latinoamérica.En este momento nos encontramos en búsqueda de un Analista de gobierno de datos - Ciclo de vida del dato, para sumarse a nuestro team.👨‍💻 ¿Qué Skills nos interesan?Conocimientos de procesos y productos de la Industria bancaria (excluyente) Excel, PPT (excluyente)Power BI u otras herramientas de visualización de datos (básico: excluyente; avanzado: deseable) SQL (básico: excluyente; avanzado: deseable) Conocimiento servicios Cloud (deseable)📍 ArgentinaExperiencia mínima requerida: 2 años🤝 Formando parte de nuestra #ExperienciaDicsys, disfrutarás:📚 Welcome Kit Dicsyano📲 Club Dicsys - Plataforma digital de Beneficios🤓 Programa Referidos con excelentes premios👩🏼‍💻 English In Company - Workshops❤️‍🩹 Cobertura Medicina Prepaga☀️ Día Dicsyano por semestre👶🏻 Compensación gastos de guardería y cuidado de menores hasta 3 años.🎒 Kit escolar💻 Compensación gastos de conectividad y serviciosy muchos más..... VIVI la Experiencia Dicsys 🚀Hace click en el link para conocer más de nosotros: www.dicsys.com",Presencial,NaN,"Cordoba, Córdoba, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Legal'}, {'Sectores': 'Servicios de TI y consultoría de TI'}]",2022-11-02,https://ar.linkedin.com/jobs/view/analista-gobierno-de-datos-ciclo-de-vida-del-dato-at-dicsys-3373230642?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=Yx1ohInCkfQTrcRgVZAg9g%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Sr - Science,Cervecería y Maltería Quilmes,"Job DescriptionEn Cervecería y Maltería Quilmes nos encontramos en la búsqueda de personas dinámicas que buscan desafíos constantes y sueñen en grande.Su rol principal será la exploración de datos provenientes de la aplicación B2B (BEES) de Cervecería Quilmes y la realización de análisis descriptivos, para brindar a las áreas de negocio información e insights que agreguen valor en la toma de decisiones.Responsibilities and assignmentsDescubrimiento de preguntas de negocio a resolver con análisis, testeos y modelos, identificando las necesidades de los usuarios y contribuyendo a construir un producto de datos que resuelva las mismas.Exploración de los conjuntos de datos disponibles y/o nuevas fuentes de datos, para resolver esas problemáticas.Ejecución de análisis basados en estadística descriptiva o modelos de ciencia de datos, para detectar oportunidades y patrones en los datos.Brindarle al negocio insights a partir de los datos y modelos creados.Coordinación con el negocio para la adopción de la solución brindada y el monitoreo del valor agregado.Aprender de los equipos del negocio, de la experiencia con la aplicación y con la operación de ventas, para encontrar las oportunidades de mejora y ejecutar iniciativas que mejor cubran esa necesidad.Requirements And QualificationsUniversitario completo o próximo para finalizar. Preferentemente con especialización en obtención y modelado de datos.Experiencia en posiciones similares, manejando grandes volúmenes de datos y analizándolos con técnicas estadísticas.Analítico / Orientado a resultados / Resolutivo / Organizado / Liderazgo de equipos y pares.ExcluyentesCompetencias Técnicas:Conocimiento y experiencia con lenguaje SQL, para la extracción y modelado de datos.Experiencia en manejo de datos con Python o R.ExcelHabilidades de comunicación y presentación.No ExcluyentesHerramientas de visualización (preferentemente, Power BI)Conocimientos Agile.¡Te damos la bienvenida! Somos Cervecería y Maltería QuilmesEn Argentina contamos con más de 6.000 colaboradores, que trabajamos en 10 cervecerías y plantas de elaboración de gaseosas, 2 malterías, 1 chacra de lúpulo, 1 planta de insumos, 11 centros de distribución, 9 oficinas de venta directa y una red de más de 173 distribuidores independientes.Formamos parte de Anheuser-Busch InBev, la Compañía cervecera líder en el mundo, que se conformó a través de diversas fusiones, en los últimos años, con distintas empresas como Ambev, Interbrew, Anhauser Bush, Grupo Modelo, SAB Miller, entre otras.Nuestra gente sueña en grande. Somos apasionados por lo que hacemos, y nuestro mayor objetivo es innovar en el sector de bebidas con la mayor calidad y variedad para que nuestros consumidores nos elijan y tengan la mejor experiencia de consumo.¡Nuestra cultura está enfocada en construir un ambiente inclusivo y colaborativo, en el que las personas puedan sacar lo mejor de sí mismas! Queremos seguir sumando personas comprometidas, que quieran cambiar las cosas, les guste innovar y los desafíos, y siempre vayan por más. Por eso, buscamos talentos diversos, dispuestos a construir nuestro gran propósito: Soñamos en grande para crear un futuro con mas motivos para brindar.¡Conocé nuestras búsquedas, y postulate!¡Te estamos buscando a vos!",Presencial,NaN,Greater Buenos Aires,"[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Servicios de alimentos y bebidas'}]",2022-11-24,https://ar.linkedin.com/jobs/view/data-analyst-sr-science-at-cervecer%C3%ADa-y-malter%C3%ADa-quilmes-3401856333?refId=bpX5zp2r6M8raLDcchqSJg%3D%3D&trackingId=2xZWxa5GGqwYQy0BZ%2BbEEg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
