industries_id,industries
115,Hospitais e atendimento à saúde
116,Manufatura
117,Serviços de gestão estratégica
118,Administração de escritório
119,Fabricação de produtos farmacêuticos
120,Consultoria de terceirização e offshoring
121,Locações não residenciais
122,Escolas de cosmetologia e barbeiro
123,Entretenimento
124,Produção e distribuição de mídia de transmissão
125,Programas de gestión educativa
126,"Servicios de publicidad, Investigación de mercado y Seguridad de redes y sistemas informáticos"
127,Servicios de publicidad y Investigación de mercado
128,"Fabricación de artículos deportivos, Manufactura y Venta minorista"
129,"Fabricación de equipamiento médico, Hospitales y atención sanitaria y Fabricación de productos farmacéuticos"
130,"Fabricación de equipos informáticos, Seguridad de redes y sistemas informáticos y Contabilidad"
131,Manufactura
132,Servicios públicos y Oficinas ejecutivas
133,Servicios de TI y consultoría de TI y Desarrollo de software
134,Administración gubernamental
135,Asesoría de externalización y deslocalización
136,Servicios de TI y consultoría de TI y Servicios de información
137,Venta minorista
138,"Fabricación de equipos informáticos, Productos de redes informáticas y Seguridad de redes y sistemas informáticos"
139,Organizaciones sin ánimo de lucro
140,"Servicios de TI y consultoría de TI, Desarrollo de software y Enseñanza superior"
141,"Fabricación de electrodomésticos, equipamiento eléctrico y electrónica, Fabricación de maquinaria industrial y Manufactura"
142,Producción multimedia
143,Banca
144,Fotografía
145,Fabricación de embalaje y envases
146,Servicios de TI y consultoría de TI y Banca
147,"Servicios de TI y consultoría de TI, Desarrollo de software y Banca"
148,"Deportes espectáculo, Servicios de información y Desarrollo de software"
149,"Servicios de TI y consultoría de TI, Seguridad de redes y sistemas informáticos y Hospitales y atención sanitaria"
150,Fabricación de maquinaria industrial
151,Seguridad de redes y sistemas informáticos
152,Servicios de información
153,Fabricación de maquinaria de automatización
154,Industria textil y moda para la venta minorista
155,"Banca, Servicios financieros y Banca de inversiones"
156,"Fabricación de productos de cuidado personal, Comestibles para la venta minorista y Fabricación de alimentos y bebidas"
157,"Fabricación de vehículos motorizados, Fabricación de maquinaria industrial y Transporte terrestre en camión"
158,Ingeniería industrial o mecánica
159,Desarrollo y comercio internacional
160,"Servicios de TI y consultoría de TI, Servicios de información y Desarrollo de software"
161,"Servicios de TI y consultoría de TI y Tecnología, información e internet"
162,Servicios de TI y consultoría de TI y Servicios de publicidad
163,"Servicios de TI y consultoría de TI, Desarrollo de software y Formación profesional y coaching"
164,Servicios al consumidor
165,Servicios de alimentos y bebidas y Manufactura
166,Servicios de bienestar y ejercicio
167,Fabricación de semiconductores de energías renovables
168,"Servicios de TI y consultoría de TI, Fabricación de equipos informáticos y Desarrollo de software"
169,Enseñanza superior
170,Edición y publicación en publicaciones periódicas
171,"Servicios de información, Transporte, logística, cadena de suministro y almacenamiento y Aeronáutica y aviación"
172,"Transporte, logística, cadena de suministro y almacenamiento, Venta al por mayor y Fabricación de ordenadores y electrónica"
173,Servicios de gestión estratégica
174,Fabricación de productos de cuidado personal
175,"Ingeniería civil, Servicios medioambientales y Fabricación de maquinaria industrial"
176,"Ingeniería civil, Servicios medioambientales y Minería"
177,Gestión educativa
178,Consultorios médicos
179,Servicios de diseño
180,Transporte terrestre en camión y Fabricación de equipos ferroviarios
181,"Tecnología, información y medios de comunicación"
182,Gestión de inversiones
183,Banca y Seguros
184,Fabricación de alimentos y bebidas
185,Productos de software integrado
186,Recursos humanos
187,Hospitals and Health Care
188,"Renewable Energy Semiconductor Manufacturing, Motor Vehicle Manufacturing, and Utilities"
189,Real Estate
190,"IT Services and IT Consulting, Information Services, and Software Development"
191,"Wholesale Building Materials, Automation Machinery Manufacturing, and Manufacturing"
192,Higher Education
193,"IT Services and IT Consulting, Advertising Services, and Technology, Information and Internet"
194,"Banking, Financial Services, and Investment Banking"
195,Advertising Services
196,"Transportation, Logistics, Supply Chain and Storage"
197,Telecommunications
198,"Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing"
199,Entertainment Providers
200,Human Resources Services
201,Information Services
202,Information Technology & Services
203,"Food and Beverage Services, Manufacturing, and Retail"
204,"Research Services, Business Consulting and Services, and Public Safety"
205,"Technology, Information and Internet, Insurance, and Financial Services"
206,Software Development
207,Wellness and Fitness Services
208,Banking
209,IT Services and IT Consulting and Financial Services
210,Education Administration Programs
211,Computer Games
212,"IT Services and IT Consulting, Software Development, and Hospitals and Health Care"
213,"Advertising Services and Technology, Information and Internet"
214,Book and Periodical Publishing
215,Events Services
216,Insurance
217,"Transportation, Logistics, Supply Chain and Storage, Technology, Information and Internet, and Consumer Services"
218,Non-profit Organizations
219,"Software Development and Technology, Information and Internet"
220,Restaurants and Advertising Services
221,"Software Development, Technology, Information and Internet, and Financial Services"
222,"Automation Machinery Manufacturing, Software Development, and Financial Services"
223,"Retail Apparel and Fashion, Retail, and Retail Luxury Goods and Jewelry"
224,Mental Health Care
225,Wholesale Import and Export and Truck Transportation
226,Pharmaceutical Manufacturing
227,Public Safety
228,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet"
229,Airlines and Aviation
230,"IT Services and IT Consulting, Food and Beverage Services, and Retail"
231,Accounting
232,"Information Services, Computer and Network Security, and Technology, Information and Internet"
233,IT Services and IT Consulting and Hospitals and Health Care
234,Information Services and Financial Services
235,Retail Apparel and Fashion
236,"IT Services and IT Consulting, Spectator Sports, and Gambling Facilities and Casinos"
237,IT Services and IT Consulting and Retail
238,Security and Investigations
239,Utilities
240,"Appliances, Electrical, and Electronics Manufacturing and Automation Machinery Manufacturing"
241,"Computer Hardware Manufacturing, Computer and Network Security, and Oil and Gas"
242,Manufacturing and Retail
243,IT Services and IT Consulting and Broadcast Media Production and Distribution
244,IT Services and IT Consulting and Computers and Electronics Manufacturing
245,"Newspaper Publishing, Online Audio and Video Media, and Entertainment Providers"
246,IT Services and IT Consulting and Environmental Services
247,"Spectator Sports, Software Development, and Entertainment Providers"
248,Oil and Gas
249,Construction
250,Environmental Services and Utilities
251,"Restaurants, Food and Beverage Services, and Airlines and Aviation"
252,Telecommunications and Real Estate
253,IT Services and IT Consulting and Business Consulting and Services
254,Industria láctea y Desarrollo y comercio internacional
255,"Banca, Manufactura y Asesoría y servicios empresariales"
256,"Banca, Petróleo y gas y Servicios financieros"
257,"Tecnología, información e internet y Servicios de recursos humanos"
258,Oficinas ejecutivas
259,Acuerdos de capital de riesgo y capital de inversión
260,Asesoría y servicios empresariales y Hospitales y atención sanitaria
261,"Servicios de TI y consultoría de TI, Desarrollo de software y Tecnología, información e internet"
262,Minería
263,"Petróleo y gas, Equipamiento de oficina para la venta minorista y Servicios al consumidor"
264,Casinos y centros de apuestas
265,Fabricación de productos textiles
266,Restauración
267,"Venta al por mayor, Manufactura y Servicios al consumidor"
268,Servicios de TI y consultoría de TI y Asesoría y servicios empresariales
269,Seguros y Asesoría y servicios empresariales
